Image number,Original images,high noise,Low noise,large filter,small filter
image: 1,0.0,-0.02664196847612732,-0.058539044204379054,-0.024982637020596554,0.0055950025536983805
image: 2,0.0,-0.03533055114511208,-0.012638279545068798,-0.04913756177856399,-0.013932030697444753
image: 3,0.0,-0.016057430025321118,-0.025491519830183718,-0.03352886427656765,-0.00915564552917314
image: 4,0.0,0.004346634388606052,-0.11350476020818112,-0.05195682803863089,-0.006768222014671865
image: 5,0.0,0.00743992107917002,-0.06393551118846719,-0.027826025695165457,-0.014871664367008819
image: 6,0.0,-0.1432190708151232,-0.02065461723917006,-0.016193979826105376,-0.014609533276002784
