,,0,1,2,3,4
1,1,0.6787185881611406,0.6520766196850133,0.6201795439567616,0.6537359511405441,0.684313590714839
1,2,0.6501051555738532,0.6147746044287411,0.6374668760287844,0.6009675937952892,0.6361731248764084
1,3,0.6585500145413532,0.6424925845160321,0.6330584947111695,0.6250211502647856,0.64939436901218
2,1,0.6707333890293842,0.6750800234179902,0.557228628821203,0.6187765609907533,0.6639651670147123
2,2,0.6675817981574979,0.6750217192366679,0.6036462869690307,0.6397557724623324,0.652710133790489
2,3,0.6201272040022826,0.47690813318715947,0.5994725867631125,0.6039332241761772,0.6055176707262798
3,1,0.685204180597473,0.44254170016438815,0.5779681825538403,0.6242560593323374,0.6416634867414195
3,2,0.6623335719916968,0.5969717000276559,0.32684206160335794,0.006219317012828056,0.6413798187536115
3,3,0.636763633848501,0.5108845244637057,0.02325644598914098,0.014073496287090462,0.5961936854905274
